Rank,Rank Δ,Player,Code,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played,Title,Title Count,Leaderboard Rank
1009,-8,Jurri,-,1313.7,19.08,1450.71,16.27,45.67,-0.94,80,6.0,40,4.0,40,2.0,0,0.0,50.0,1.35,2026-07-25,-,0,1106.0
-,-,pablocg,-,1313.37,-2.18,1538.4,0.0,75.01,0.73,30,0.0,17,0.0,13,0.0,0,0.0,56.67,0.0,2024-04-04,-,0,-
-,-,Machote,-,1313.31,-1.99,1562.31,0.0,83.0,0.66,22,0.0,9,0.0,13,0.0,0,0.0,40.91,0.0,2024-04-04,-,0,-
-,-,Grandnewby,-,1313.25,-3.19,1467.83,0.0,51.53,1.06,72,0.0,40,0.0,31,0.0,1,0.0,55.56,0.0,2025-04-30,-,0,849.0
1010,-53,Zero_1627,-,1313.07,-3.45,1457.31,0.0,48.08,1.15,74,0.0,33,0.0,41,0.0,0,0.0,44.59,0.0,2026-03-24,-,0,989.0
-,-,Mouette,-,1312.95,-3.66,1455.57,0.0,47.54,1.22,169,0.0,67,0.0,97,0.0,5,0.0,39.64,0.0,2024-10-13,-,0,-
1011,-58,KTown,-,1312.92,-4.91,1389.8,-2.73,25.63,0.73,594,23.0,238,9.0,353,14.0,3,0.0,40.07,-0.04,2026-08-19,-,0,589.0
1012,-54,stshow123,-,1312.74,-2.18,1538.12,0.0,75.13,0.73,25,0.0,15,0.0,10,0.0,0,0.0,60.0,0.0,2025-11-23,-,0,1245.0
-,-,Sir_Smiley,-,1312.7,-2.31,1524.99,0.0,70.76,0.77,54,0.0,28,0.0,24,0.0,2,0.0,51.85,0.0,2021-06-02,-,0,-
1013,-40,Beewiz,-,1312.57,4.46,1493.86,-0.18,60.43,-1.55,48,3.0,22,2.0,26,1.0,0,0.0,45.83,1.39,2026-06-24,-,0,1287.0
-,-,Pluppo,-,1311.54,-2.68,1498.43,0.0,62.3,0.89,108,0.0,57,0.0,51,0.0,0,0.0,52.78,0.0,2021-09-05,-,0,-
-,-,Robson_Ponte,-,1311.5,-4.1,1430.38,0.0,39.62,1.37,353,0.0,167,0.0,183,0.0,3,0.0,47.31,0.0,2024-04-14,-,0,-
-,-,jabroney,AU,1311.37,-2.87,1482.11,0.0,56.91,0.96,120,0.0,68,0.0,52,0.0,0,0.0,56.67,0.0,2022-08-30,-,0,-
